epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,223.256,0.70563,0.70049,0.96153,0.75932,0.7534,0.82882,0.69331,0.67272,0.76348,0.95303,0.000470133,0.000470133,0.000470133
71,443.227,0.68637,0.69266,0.95588,0.75444,0.75441,0.82489,0.69329,0.65935,0.7978,0.9532,0.000466599,0.000466599,0.000466599
72,657.032,0.69305,0.69709,0.9604,0.79171,0.69858,0.82076,0.69283,0.65469,0.78624,0.94941,0.000463065,0.000463065,0.000463065
73,871.626,0.68954,0.65986,0.95685,0.74372,0.75704,0.81632,0.68982,0.6493,0.78416,0.94442,0.00045953,0.00045953,0.00045953
74,1088.39,0.68529,0.67592,0.95727,0.75808,0.7672,0.84335,0.70943,0.65319,0.73632,0.94465,0.000455996,0.000455996,0.000455996
75,1301.63,0.67509,0.64983,0.9442,0.80684,0.75224,0.84107,0.71158,0.6415,0.73108,0.93821,0.000452462,0.000452462,0.000452462
76,1514.01,0.67705,0.6603,0.95672,0.7641,0.78055,0.8357,0.71071,0.63057,0.74327,0.93691,0.000448928,0.000448928,0.000448928
77,1726.8,0.67411,0.64565,0.95602,0.77769,0.74984,0.83957,0.70998,0.65529,0.73426,0.95302,0.000445393,0.000445393,0.000445393
78,1940.54,0.67177,0.64497,0.94874,0.80872,0.73984,0.84245,0.71934,0.61469,0.73896,0.93365,0.000441859,0.000441859,0.000441859
79,2158.68,0.66925,0.64114,0.95023,0.79175,0.74947,0.84648,0.72096,0.62948,0.73123,0.94105,0.000438325,0.000438325,0.000438325
80,2372.73,0.66565,0.63642,0.94465,0.79139,0.7704,0.84083,0.71504,0.64377,0.74126,0.94581,0.00043479,0.00043479,0.00043479
81,2588.08,0.66618,0.63363,0.94728,0.77467,0.785,0.84208,0.71593,0.62596,0.7426,0.93336,0.000431256,0.000431256,0.000431256
82,2801.81,0.66969,0.63158,0.95392,0.78469,0.7528,0.83418,0.70831,0.64383,0.74218,0.93878,0.000427722,0.000427722,0.000427722
83,3016.09,0.66466,0.62763,0.94781,0.77278,0.78552,0.83285,0.70991,0.62401,0.74258,0.9305,0.000424187,0.000424187,0.000424187
84,3229.93,0.6646,0.62364,0.94974,0.78729,0.74996,0.83678,0.71114,0.63077,0.73793,0.93709,0.000420653,0.000420653,0.000420653
85,3443.84,0.67697,0.61646,0.94956,0.77485,0.79972,0.84512,0.7256,0.618,0.72405,0.93194,0.000417119,0.000417119,0.000417119
86,3659.02,0.66072,0.61295,0.93949,0.75277,0.77794,0.83543,0.71046,0.63802,0.75801,0.94176,0.000413584,0.000413584,0.000413584
86,223.016,0.66634,0.57942,0.94602,0.79706,0.75052,0.83782,0.70753,0.6629,0.74906,0.95095,0.000413584,0.000413584,0.000413584
87,443.678,0.6394,0.56031,0.93578,0.75399,0.74884,0.81592,0.68983,0.64447,0.79705,0.94687,0.00041005,0.00041005,0.00041005
88,659.491,0.64847,0.5702,0.9392,0.79599,0.75942,0.836,0.71098,0.64044,0.72413,0.93904,0.000406516,0.000406516,0.000406516
89,877.173,0.64332,0.5431,0.94139,0.80678,0.74138,0.83733,0.71147,0.62891,0.7405,0.9363,0.000402982,0.000402982,0.000402982
90,1096.21,0.64181,0.54824,0.93762,0.79223,0.77881,0.84766,0.7199,0.64726,0.70818,0.94327,0.000399447,0.000399447,0.000399447
91,1313.76,0.63066,0.53294,0.92659,0.78341,0.77888,0.84352,0.71881,0.6316,0.71516,0.93569,0.000395913,0.000395913,0.000395913
92,1528.59,0.63652,0.55414,0.94007,0.79446,0.77354,0.84195,0.71825,0.61693,0.7189,0.93238,0.000392379,0.000392379,0.000392379
93,1744.58,0.62949,0.52826,0.93649,0.78784,0.76732,0.84104,0.71523,0.64341,0.73405,0.94296,0.000388844,0.000388844,0.000388844
94,1963.79,0.63079,0.52851,0.93137,0.78402,0.77441,0.84255,0.71913,0.61759,0.72795,0.93099,0.00038531,0.00038531,0.00038531
95,2179.5,0.63421,0.53276,0.93334,0.77148,0.80153,0.8465,0.71959,0.63285,0.73794,0.93926,0.000381776,0.000381776,0.000381776
96,2396.24,0.62659,0.52905,0.92792,0.78241,0.80182,0.84695,0.71617,0.64375,0.74359,0.94017,0.000378242,0.000378242,0.000378242
97,2611.9,0.62222,0.52988,0.92985,0.80998,0.78298,0.84783,0.72688,0.6192,0.71852,0.92832,0.000374707,0.000374707,0.000374707
98,2834.24,0.62663,0.52044,0.93586,0.7745,0.80211,0.85114,0.72436,0.63345,0.70487,0.93158,0.000371173,0.000371173,0.000371173
99,3050.2,0.62089,0.52432,0.93117,0.83199,0.77535,0.85644,0.73076,0.62119,0.70065,0.92974,0.000367639,0.000367639,0.000367639
100,3268.62,0.62757,0.51062,0.93131,0.7866,0.78895,0.83958,0.71754,0.6258,0.73524,0.93012,0.000364104,0.000364104,0.000364104
101,3488.55,0.63376,0.51988,0.93103,0.81775,0.76718,0.85277,0.73226,0.62114,0.70682,0.92848,0.00036057,0.00036057,0.00036057
102,3707.08,0.64247,0.56178,0.93143,0.77319,0.77235,0.83587,0.7187,0.61462,0.74005,0.92687,0.000357036,0.000357036,0.000357036
